,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
10,2010,Cardano,ADA,cardano,1229,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35948591607.535,37143587993.987,False,,11,,,,2024-08-21T12:20:00.000Z,0.3511519573401087,273319898.2484417,27.6505,-0.03632425,1.58133831,2.72879118,-19.48789402,-6.83749114,-27.51003721,12623418306.606121,0.6016,15801838080.3,,2024-08-21T12:20:00.000Z,,,,,,2024-08-21 14:24:28.617880
11,5805,Avalanche,AVAX,avalanche,766,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,404768827.3934046,444771927.3934046,False,,12,,,,2024-08-21T12:20:00.000Z,22.91483313727662,302232806.6943339,41.3754,-0.36062479,3.52530887,6.15558243,-28.93521695,-10.79975523,-42.8858296,9275210138.890987,0.4421,16401262464.1,,2024-08-21T12:20:00.000Z,,,,,,2024-08-21 14:24:28.617880
12,5994,Shiba Inu,SHIB,shiba-inu,859,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270344160087.4,589519059471796.2,False,,13,,,,2024-08-21T12:20:00.000Z,1.3656223988042548e-05,172481088.8197591,-15.0367,-0.40355868,-0.97272325,-1.63708078,-23.23382424,-24.25975866,-46.56722526,8047207809.3610735,0.3835,8050604321.37,,2024-08-21T12:20:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-08-21 14:24:28.617880
13,6636,Polkadot,DOT,polkadot-new,802,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'layer-1']",,1483502974.307109,1483502974.307109,True,,14,1483502974.3068032,6727009680.433586,,2024-08-21T12:20:00.000Z,4.534544114127521,85843155.70416634,-17.5182,-0.33268872,-0.1833968,0.45185594,-27.93147542,-20.93810091,-39.65204627,6727009680.434973,0.3206,6727009680.43,,2024-08-21T12:20:00.000Z,,,,,,2024-08-21 14:24:28.617880
14,1831,Bitcoin Cash,BCH,bitcoin-cash,913,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19749856.25,19749856.25,False,,15,,,,2024-08-21T12:20:00.000Z,336.9398916634036,215426790.35235763,28.2863,-0.14792457,-1.39234163,-2.63184232,-13.65793873,-13.08310264,-33.65746025,6654514425.242795,0.3172,7075737724.93,,2024-08-21T12:20:00.000Z,,,,,,2024-08-21 14:24:28.617880
0,1,Bitcoin,BTC,bitcoin,11642,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19742965.0,19742965.0,False,,1,,,,2024-08-21T12:21:00.000Z,59306.44800052653,26922941026.961075,-4.106,-0.19722918,-2.25423016,-3.39501953,-12.1994746,-7.70767605,-15.04924894,1170885127148.7153,55.7937,1245435408011.06,,2024-08-21T12:21:00.000Z,,,,,,2024-08-21 14:24:59.012750
1,1027,Ethereum,ETH,ethereum,9236,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120291369.66511151,120291369.66511151,True,,2,,,,2024-08-21T12:21:00.000Z,2573.003055889326,11898870264.08892,-2.4048,-0.42568176,-2.95508431,-6.34925794,-26.52477617,-26.27216626,-34.53525379,309510061745.44446,14.7511,309510061745.44,,2024-08-21T12:21:00.000Z,,,,,,2024-08-21 14:24:59.012750
2,825,Tether USDt,USDT,tether,94982,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,117294453952.9654,120258419915.70276,True,,3,,,,2024-08-21T12:21:00.000Z,1.0001265550183116,47561831162.33736,-2.0029,-0.01284661,-0.04482988,-0.04290237,0.01062328,0.05175,0.06315152,117309298154.73326,5.5911,120273639222.24,,2024-08-21T12:21:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-08-21 14:24:59.012750
3,1839,BNB,BNB,bnb,2214,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145935901.6971018,145935901.6971018,False,,4,,,,2024-08-21T12:21:00.000Z,553.0797561842261,2043266754.366672,10.8124,-0.54232067,-2.93585504,4.25522375,-7.7311951,-5.69421896,-9.60541595,80714192929.15825,3.8491,80714192929.16,,2024-08-21T12:21:00.000Z,,,,,,2024-08-21 14:24:59.012750
4,5426,Solana,SOL,solana,721,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,466430705.2312667,582728435.897575,True,,5,,,,2024-08-21T12:21:00.000Z,141.14339323293385,1627783526.4084482,-26.6776,-0.52039165,-3.33479439,-4.87635411,-21.60164635,5.05197535,-19.77305917,65833612444.37133,3.1385,82248268775.9,,2024-08-21T12:21:00.000Z,,,,,,2024-08-21 14:24:59.012750
